,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital_instability_1983_(1983),marital_instability_in_1988_(1988),marital_stability_1992_(1992),marital_instability_2000_(2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
791,NO,"YES,SPOUSE","YES,SELF","YES, SPOUSE",NO,NO,NO,"YES, SPOUSE",NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.8500000238418579,"\$90,000 - \$99,999","\$40,000 - \$49,999","\$20,000 - \$29,999","Under \$20,000"
792,YES SELF,"YES,SELF",BOTH,"YES, SELF",YES SPOUSE,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.3000000119209289,0.8999999761581421,"\$20,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000","Under \$20,000"
798,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"Under \$20,000","\$70,000 - \$79,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
802,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
806,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999","\$40,000 - \$49,999"
811,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
813,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.4799999892711639,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999","\$30,000 - \$39,999"
816,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.0,0.7799999713897705,0.6000000238418579,0.4799999892711639,"\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
817,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,0.0,0.7799999713897705,0.0,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
818,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.3000000119209289,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
823,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
830,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,0.8500000238418579,0.7799999713897705,0.0,0.0,"\$80,000 - \$89,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
832,NO,NO,NO,NO,NO,BOTH,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
834,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.4799999892711639,1.0,0.3000000119209289,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
836,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,"YES,SELF",BOTH,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.3000000119209289,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
846,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,YES SELF,NO,NO,"YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
849,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,BOTH,NO,"YES,SPOUSE",NO,NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,NO,NO,NO,0.0,0.3000000119209289,0.3000000119209289,0.0,"\$80,000 - \$89,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
850,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$30,000 - \$39,999","\$20,000 - \$29,999","\$20,000 - \$29,999","\$25,000 - \$29,999"
851,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
856,YES SPOUSE,NO,NO,"YES, SPOUSE",NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$25,000 - \$29,999","\$25,000 - \$29,999","\$40,000 - \$49,999"
857,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.0,0.0,0.4799999892711639,"\$50,000 - \$59,999","Under \$20,000","\$20,000 - \$29,999","\$20,000 - \$29,999"
858,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$25,000 - \$29,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
860,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
866,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$25,000 - \$29,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
867,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,0.7799999713897705,0.6000000238418579,0.3000000119209289,0.0,"Under \$20,000","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
869,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$40,000 - \$49,999","\$20,000 - \$29,999","\$30,000 - \$39,999"
872,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
875,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$60,000 - \$69,999"
878,NO,NO,BOTH,"YES, SPOUSE",NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.3000000119209289,0.0,"\$40,000 - \$49,999","\$20,000 - \$29,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
880,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,BOTH,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$25,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000"
881,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.6000000238418579,0.4799999892711639,0.3000000119209289,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
884,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
885,YES SELF,NO,NO,NO,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$25,000 - \$29,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
886,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$25,000 - \$29,999","Under \$20,000","\$30,000 - \$39,999","\$30,000 - \$39,999"
888,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,0.4799999892711639,0.8500000238418579,1.0,0.4799999892711639,"\$20,000 - \$29,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
891,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
895,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE","YES, SELF",NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,0.0,1.0399999618530271,0.8999999761581421,0.699999988079071,"\$100,000 or More","\$80,000 - \$89,999","\$20,000 - \$29,999","\$20,000 - \$29,999"
896,YES SELF,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
902,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$40,000 - \$49,999","\$40,000 - \$49,999","\$60,000 - \$69,999","\$25,000 - \$29,999"
906,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.4799999892711639,0.0,0.0,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
911,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,BOTH,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
912,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.0,0.0,0.0,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
916,YES SELF,"YES,SPOUSE",BOTH,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,YES SELF,"YES,SELF",NO,NO,YES SPOUSE,"YES,SELF",NO,NO,NO,"YES,SELF",NO,NO,1.0800000429153442,0.8999999761581421,0.0,0.0,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999","\$20,000 - \$29,999"
917,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
918,NO,"YES,SELF",NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF",NO,NO,YES SELF,"YES,SELF",NO,BOTH,NO,"YES,SELF",NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000"
920,BOTH,BOTH,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.8999999761581421,0.0,0.0,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
923,NO,"YES,SPOUSE",BOTH,BOTH,NO,NO,NO,BOTH,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,0.949999988079071,1.149999976158142,0.699999988079071,0.0,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
929,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,"YES,SPOUSE",NO,NO,YES SPOUSE,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES, SPOUSE",0.949999988079071,0.7799999713897705,0.8500000238418579,0.4799999892711639,"\$100,000 or More","\$70,000 - \$79,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
930,YES SELF,NO,"YES,SPOUSE","YES, SPOUSE",NO,"YES,SELF",BOTH,"YES, SPOUSE",NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,"YES,SPOUSE",BOTH,"YES, SPOUSE",NO,,"YES,SPOUSE","YES, SPOUSE",0.6000000238418579,1.0,1.340000033378601,1.340000033378601,"Under \$20,000","Under \$20,000","\$40,000 - \$49,999","\$50,000 - \$59,999"
931,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.7799999713897705,0.699999988079071,0.699999988079071,1.1100000143051147,"\$100,000 or More","\$50,000 - \$59,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
933,YES SPOUSE,NO,"YES,SELF","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.0,0.0,"Under \$20,000","\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
935,YES SPOUSE,"YES,SELF","YES,SELF","YES, SELF",BOTH,NO,NO,NO,NO,NO,"YES,SELF",NO,YES SPOUSE,NO,NO,NO,YES SPOUSE,NO,NO,NO,0.949999988079071,0.4799999892711639,0.7799999713897705,0.0,"\$70,000 - \$79,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$25,000 - \$29,999"
939,NO,"YES,SPOUSE",NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF",NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.8999999761581421,0.3000000119209289,0.0,"\$70,000 - \$79,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
941,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",BOTH,NO,NO,NO,NO,NO,0.0,0.0,0.6000000238418579,0.699999988079071,"\$50,000 - \$59,999","\$25,000 - \$29,999","\$25,000 - \$29,999","Under \$20,000"
949,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
950,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
959,YES SPOUSE,NO,BOTH,"YES, SPOUSE",YES SELF,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.3000000119209289,"Under \$20,000","\$40,000 - \$49,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
960,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"\$80,000 - \$89,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
967,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,1.1100000143051147,0.0,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
968,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
971,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF","YES,SELF","YES, SPOUSE",NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
973,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
978,NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,"YES,SELF",BOTH,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,0.4799999892711639,0.4799999892711639,0.8500000238418579,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
982,YES SELF,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.7799999713897705,0.0,0.0,"\$70,000 - \$79,999","\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
983,NO,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7799999713897705,0.8500000238418579,0.699999988079071,0.949999988079071,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
986,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
988,YES SELF,"YES,SELF",NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$40,000 - \$49,999","Under \$20,000","\$30,000 - \$39,999"
994,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
1000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"\$90,000 - \$99,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
1005,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.949999988079071,1.0,1.0,0.8500000238418579,"\$40,000 - \$49,999","\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
1007,BOTH,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.699999988079071,0.8999999761581421,0.4799999892711639,0.6000000238418579,"\$25,000 - \$29,999","\$25,000 - \$29,999","\$30,000 - \$39,999","\$60,000 - \$69,999"
1011,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.7799999713897705,0.3000000119209289,0.8999999761581421,0.3000000119209289,"\$90,000 - \$99,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1013,NO,NO,NO,,NO,NO,NO,,NO,"YES,SPOUSE",NO,,NO,NO,NO,,NO,NO,NO,,0.0,0.3000000119209289,0.0,0.0,"\$40,000 - \$49,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$50,000 - \$59,999"
1014,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SELF",NO,NO,NO,"YES, SPOUSE",0.0,0.3000000119209289,0.3000000119209289,0.4799999892711639,"\$50,000 - \$59,999","\$70,000 - \$79,999","\$50,000 - \$59,999","\$20,000 - \$29,999"
1015,NO,BOTH,NO,"YES, SPOUSE",YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"Under \$20,000","Under \$20,000","Under \$20,000","Under \$20,000"
1016,NO,"YES,SPOUSE",BOTH,NO,NO,"YES,SPOUSE",NO,NO,YES SELF,"YES,SELF",NO,NO,YES SELF,"YES,SELF","YES,SELF","YES, SPOUSE",NO,NO,NO,NO,0.0,1.0800000429153442,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
1019,YES SPOUSE,NO,NO,NO,YES SPOUSE,BOTH,NO,"YES, SPOUSE",NO,NO,NO,NO,YES SELF,BOTH,"YES,SELF",NO,YES SELF,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
1024,NO,"YES,SELF",NO,NO,BOTH,"YES,SELF","YES,SELF",NO,YES SPOUSE,"YES,SPOUSE",NO,NO,YES SELF,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.3000000119209289,"\$30,000 - \$39,999","\$20,000 - \$29,999","\$25,000 - \$29,999","Under \$20,000"
1025,YES SPOUSE,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,YES SELF,NO,NO,NO,NO,BOTH,"YES,SPOUSE",NO,NO,NO,NO,"YES, SPOUSE",0.8999999761581421,0.8500000238418579,0.8500000238418579,0.6000000238418579,"\$100,000 or More","\$40,000 - \$49,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
1026,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$50,000 - \$59,999","\$25,000 - \$29,999"
1028,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1030,YES SPOUSE,BOTH,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"Under \$20,000","\$50,000 - \$59,999","\$30,000 - \$39,999","\$40,000 - \$49,999"
1036,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.0,0.0,0.0,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
1047,YES SPOUSE,NO,BOTH,"YES, SPOUSE",NO,"YES,SELF","YES,SELF","YES, SELF",NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.4799999892711639,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
1050,YES SELF,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,"YES,SELF","YES,SPOUSE","YES, SPOUSE",NO,"YES,SELF","YES,SELF",NO,BOTH,"YES,SELF","YES,SELF","YES, SELF",NO,NO,,NO,1.1100000143051147,1.0800000429153442,1.2000000476837158,1.0399999618530271,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$60,000 - \$69,999","Under \$20,000"
1051,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.6000000238418579,0.0,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
1058,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF",NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.3000000119209289,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$20,000 - \$29,999","Under \$20,000"
1061,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
